n_teams_remaining,n_players_remaining,n_kills,tr_reference_file,pr_reference_file,k_reference_file,record_timestamp,og_screenshot,top_left,game_number,starting_game,in_lobby,is_loading_screen,leave_game_menu,streamer
,b,b,,media/stable_numbers/number_crops/loop_0000010pr.jpg,media/stable_numbers/number_crops/loop_0000010k.jpg,2020-09-13 03:16:29.202511,media/stable_numbers/og_screenshots/loop_0000010.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000011pr.jpg,media/stable_numbers/number_crops/loop_0000011k.jpg,2020-09-13 03:16:29.433584,media/stable_numbers/og_screenshots/loop_0000011.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000012pr.jpg,media/stable_numbers/number_crops/loop_0000012k.jpg,2020-09-13 03:16:29.690350,media/stable_numbers/og_screenshots/loop_0000012.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000013pr.jpg,media/stable_numbers/number_crops/loop_0000013k.jpg,2020-09-13 03:16:29.967407,media/stable_numbers/og_screenshots/loop_0000013.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000014pr.jpg,media/stable_numbers/number_crops/loop_0000014k.jpg,2020-09-13 03:16:30.254976,media/stable_numbers/og_screenshots/loop_0000014.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000015pr.jpg,media/stable_numbers/number_crops/loop_0000015k.jpg,2020-09-13 03:16:30.566084,media/stable_numbers/og_screenshots/loop_0000015.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000016pr.jpg,media/stable_numbers/number_crops/loop_0000016k.jpg,2020-09-13 03:16:30.738076,media/stable_numbers/og_screenshots/loop_0000016.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000017pr.jpg,media/stable_numbers/number_crops/loop_0000017k.jpg,2020-09-13 03:16:30.921129,media/stable_numbers/og_screenshots/loop_0000017.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000018pr.jpg,media/stable_numbers/number_crops/loop_0000018k.jpg,2020-09-13 03:16:31.107971,media/stable_numbers/og_screenshots/loop_0000018.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000019pr.jpg,media/stable_numbers/number_crops/loop_0000019k.jpg,2020-09-13 03:16:31.305169,media/stable_numbers/og_screenshots/loop_0000019.jpg,"(229, 30)",,,,,,
,20,10,,media/stable_numbers/number_crops/loop_0000020pr.jpg,media/stable_numbers/number_crops/loop_0000020k.jpg,2020-09-13 03:16:31.483826,media/stable_numbers/og_screenshots/loop_0000020.jpg,"(168, 62)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000021pr.jpg,media/stable_numbers/number_crops/loop_0000021k.jpg,2020-09-13 03:16:31.698949,media/stable_numbers/og_screenshots/loop_0000021.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000022pr.jpg,media/stable_numbers/number_crops/loop_0000022k.jpg,2020-09-13 03:16:31.943186,media/stable_numbers/og_screenshots/loop_0000022.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000023pr.jpg,media/stable_numbers/number_crops/loop_0000023k.jpg,2020-09-13 03:16:32.123259,media/stable_numbers/og_screenshots/loop_0000023.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000024pr.jpg,media/stable_numbers/number_crops/loop_0000024k.jpg,2020-09-13 03:16:32.369974,media/stable_numbers/og_screenshots/loop_0000024.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000025pr.jpg,media/stable_numbers/number_crops/loop_0000025k.jpg,2020-09-13 03:16:32.544476,media/stable_numbers/og_screenshots/loop_0000025.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000026pr.jpg,media/stable_numbers/number_crops/loop_0000026k.jpg,2020-09-13 03:16:32.818927,media/stable_numbers/og_screenshots/loop_0000026.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000027pr.jpg,media/stable_numbers/number_crops/loop_0000027k.jpg,2020-09-13 03:16:33.004494,media/stable_numbers/og_screenshots/loop_0000027.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000028pr.jpg,media/stable_numbers/number_crops/loop_0000028k.jpg,2020-09-13 03:16:33.176095,media/stable_numbers/og_screenshots/loop_0000028.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000029pr.jpg,media/stable_numbers/number_crops/loop_0000029k.jpg,2020-09-13 03:16:33.369737,media/stable_numbers/og_screenshots/loop_0000029.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000030pr.jpg,media/stable_numbers/number_crops/loop_0000030k.jpg,2020-09-13 03:16:33.586160,media/stable_numbers/og_screenshots/loop_0000030.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000031pr.jpg,media/stable_numbers/number_crops/loop_0000031k.jpg,2020-09-13 03:16:33.885035,media/stable_numbers/og_screenshots/loop_0000031.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000032pr.jpg,media/stable_numbers/number_crops/loop_0000032k.jpg,2020-09-13 03:16:34.153143,media/stable_numbers/og_screenshots/loop_0000032.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000033pr.jpg,media/stable_numbers/number_crops/loop_0000033k.jpg,2020-09-13 03:16:34.412127,media/stable_numbers/og_screenshots/loop_0000033.jpg,"(229, 30)",,,,,,
,20.0,i10,,media/stable_numbers/number_crops/loop_0000034pr.jpg,media/stable_numbers/number_crops/loop_0000034k.jpg,2020-09-13 03:16:34.670202,media/stable_numbers/og_screenshots/loop_0000034.jpg,"(229, 30)",,,,,,
,20.0,i10,,media/stable_numbers/number_crops/loop_0000035pr.jpg,media/stable_numbers/number_crops/loop_0000035k.jpg,2020-09-13 03:16:34.839918,media/stable_numbers/og_screenshots/loop_0000035.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000036pr.jpg,media/stable_numbers/number_crops/loop_0000036k.jpg,2020-09-13 03:16:35.017703,media/stable_numbers/og_screenshots/loop_0000036.jpg,"(229, 30)",,,,,,
,20.0,i10,,media/stable_numbers/number_crops/loop_0000037pr.jpg,media/stable_numbers/number_crops/loop_0000037k.jpg,2020-09-13 03:16:35.296481,media/stable_numbers/og_screenshots/loop_0000037.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000038pr.jpg,media/stable_numbers/number_crops/loop_0000038k.jpg,2020-09-13 03:16:35.539424,media/stable_numbers/og_screenshots/loop_0000038.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000039pr.jpg,media/stable_numbers/number_crops/loop_0000039k.jpg,2020-09-13 03:16:35.823751,media/stable_numbers/og_screenshots/loop_0000039.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000040pr.jpg,media/stable_numbers/number_crops/loop_0000040k.jpg,2020-09-13 03:16:36.102405,media/stable_numbers/og_screenshots/loop_0000040.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000041pr.jpg,media/stable_numbers/number_crops/loop_0000041k.jpg,2020-09-13 03:16:36.312867,media/stable_numbers/og_screenshots/loop_0000041.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000042pr.jpg,media/stable_numbers/number_crops/loop_0000042k.jpg,2020-09-13 03:16:36.494994,media/stable_numbers/og_screenshots/loop_0000042.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000043pr.jpg,media/stable_numbers/number_crops/loop_0000043k.jpg,2020-09-13 03:16:36.671442,media/stable_numbers/og_screenshots/loop_0000043.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000044pr.jpg,media/stable_numbers/number_crops/loop_0000044k.jpg,2020-09-13 03:16:36.858208,media/stable_numbers/og_screenshots/loop_0000044.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000045pr.jpg,media/stable_numbers/number_crops/loop_0000045k.jpg,2020-09-13 03:16:37.094731,media/stable_numbers/og_screenshots/loop_0000045.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000046pr.jpg,media/stable_numbers/number_crops/loop_0000046k.jpg,2020-09-13 03:16:37.392088,media/stable_numbers/og_screenshots/loop_0000046.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000047pr.jpg,media/stable_numbers/number_crops/loop_0000047k.jpg,2020-09-13 03:16:37.588291,media/stable_numbers/og_screenshots/loop_0000047.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000048pr.jpg,media/stable_numbers/number_crops/loop_0000048k.jpg,2020-09-13 03:16:37.847648,media/stable_numbers/og_screenshots/loop_0000048.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000049pr.jpg,media/stable_numbers/number_crops/loop_0000049k.jpg,2020-09-13 03:16:38.054839,media/stable_numbers/og_screenshots/loop_0000049.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000050pr.jpg,media/stable_numbers/number_crops/loop_0000050k.jpg,2020-09-13 03:16:38.289037,media/stable_numbers/og_screenshots/loop_0000050.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000051pr.jpg,media/stable_numbers/number_crops/loop_0000051k.jpg,2020-09-13 03:16:38.488344,media/stable_numbers/og_screenshots/loop_0000051.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000052pr.jpg,media/stable_numbers/number_crops/loop_0000052k.jpg,2020-09-13 03:16:38.691999,media/stable_numbers/og_screenshots/loop_0000052.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000053pr.jpg,media/stable_numbers/number_crops/loop_0000053k.jpg,2020-09-13 03:16:38.922406,media/stable_numbers/og_screenshots/loop_0000053.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000054pr.jpg,media/stable_numbers/number_crops/loop_0000054k.jpg,2020-09-13 03:16:39.118153,media/stable_numbers/og_screenshots/loop_0000054.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000055pr.jpg,media/stable_numbers/number_crops/loop_0000055k.jpg,2020-09-13 03:16:39.434457,media/stable_numbers/og_screenshots/loop_0000055.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000056pr.jpg,media/stable_numbers/number_crops/loop_0000056k.jpg,2020-09-13 03:16:39.643374,media/stable_numbers/og_screenshots/loop_0000056.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000057pr.jpg,media/stable_numbers/number_crops/loop_0000057k.jpg,2020-09-13 03:16:39.848112,media/stable_numbers/og_screenshots/loop_0000057.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000058pr.jpg,media/stable_numbers/number_crops/loop_0000058k.jpg,2020-09-13 03:16:40.077811,media/stable_numbers/og_screenshots/loop_0000058.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000059pr.jpg,media/stable_numbers/number_crops/loop_0000059k.jpg,2020-09-13 03:16:40.297224,media/stable_numbers/og_screenshots/loop_0000059.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000060pr.jpg,media/stable_numbers/number_crops/loop_0000060k.jpg,2020-09-13 03:16:40.464391,media/stable_numbers/og_screenshots/loop_0000060.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000061pr.jpg,media/stable_numbers/number_crops/loop_0000061k.jpg,2020-09-13 03:16:40.612537,media/stable_numbers/og_screenshots/loop_0000061.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000062pr.jpg,media/stable_numbers/number_crops/loop_0000062k.jpg,2020-09-13 03:16:40.777645,media/stable_numbers/og_screenshots/loop_0000062.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000063pr.jpg,media/stable_numbers/number_crops/loop_0000063k.jpg,2020-09-13 03:16:40.948738,media/stable_numbers/og_screenshots/loop_0000063.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000064pr.jpg,media/stable_numbers/number_crops/loop_0000064k.jpg,2020-09-13 03:16:41.097546,media/stable_numbers/og_screenshots/loop_0000064.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000065pr.jpg,media/stable_numbers/number_crops/loop_0000065k.jpg,2020-09-13 03:16:41.313089,media/stable_numbers/og_screenshots/loop_0000065.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000066pr.jpg,media/stable_numbers/number_crops/loop_0000066k.jpg,2020-09-13 03:16:41.474569,media/stable_numbers/og_screenshots/loop_0000066.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000067pr.jpg,media/stable_numbers/number_crops/loop_0000067k.jpg,2020-09-13 03:16:41.632633,media/stable_numbers/og_screenshots/loop_0000067.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000068pr.jpg,media/stable_numbers/number_crops/loop_0000068k.jpg,2020-09-13 03:16:41.797435,media/stable_numbers/og_screenshots/loop_0000068.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000069pr.jpg,media/stable_numbers/number_crops/loop_0000069k.jpg,2020-09-13 03:16:41.963874,media/stable_numbers/og_screenshots/loop_0000069.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000070pr.jpg,media/stable_numbers/number_crops/loop_0000070k.jpg,2020-09-13 03:16:42.124999,media/stable_numbers/og_screenshots/loop_0000070.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000071pr.jpg,media/stable_numbers/number_crops/loop_0000071k.jpg,2020-09-13 03:16:42.291828,media/stable_numbers/og_screenshots/loop_0000071.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000072pr.jpg,media/stable_numbers/number_crops/loop_0000072k.jpg,2020-09-13 03:16:42.451293,media/stable_numbers/og_screenshots/loop_0000072.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000073pr.jpg,media/stable_numbers/number_crops/loop_0000073k.jpg,2020-09-13 03:16:42.653182,media/stable_numbers/og_screenshots/loop_0000073.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000074pr.jpg,media/stable_numbers/number_crops/loop_0000074k.jpg,2020-09-13 03:16:42.866262,media/stable_numbers/og_screenshots/loop_0000074.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000075pr.jpg,media/stable_numbers/number_crops/loop_0000075k.jpg,2020-09-13 03:16:43.078875,media/stable_numbers/og_screenshots/loop_0000075.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000076pr.jpg,media/stable_numbers/number_crops/loop_0000076k.jpg,2020-09-13 03:16:43.279384,media/stable_numbers/og_screenshots/loop_0000076.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000077pr.jpg,media/stable_numbers/number_crops/loop_0000077k.jpg,2020-09-13 03:16:43.432144,media/stable_numbers/og_screenshots/loop_0000077.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000078pr.jpg,media/stable_numbers/number_crops/loop_0000078k.jpg,2020-09-13 03:16:43.580319,media/stable_numbers/og_screenshots/loop_0000078.jpg,"(229, 30)",,,,,,
,19.0,10.0,,media/stable_numbers/number_crops/loop_0000079pr.jpg,media/stable_numbers/number_crops/loop_0000079k.jpg,2020-09-13 03:16:43.732015,media/stable_numbers/og_screenshots/loop_0000079.jpg,"(229, 30)",,,,,,
,19.0,i10,,media/stable_numbers/number_crops/loop_0000080pr.jpg,media/stable_numbers/number_crops/loop_0000080k.jpg,2020-09-13 03:16:43.880751,media/stable_numbers/og_screenshots/loop_0000080.jpg,"(229, 30)",,,,,,
,19.0,10.0,,media/stable_numbers/number_crops/loop_0000081pr.jpg,media/stable_numbers/number_crops/loop_0000081k.jpg,2020-09-13 03:16:44.104552,media/stable_numbers/og_screenshots/loop_0000081.jpg,"(229, 30)",,,,,,
,19.0,10.0,,media/stable_numbers/number_crops/loop_0000082pr.jpg,media/stable_numbers/number_crops/loop_0000082k.jpg,2020-09-13 03:16:44.255161,media/stable_numbers/og_screenshots/loop_0000082.jpg,"(229, 30)",,,,,,
,19.0,10.0,,media/stable_numbers/number_crops/loop_0000083pr.jpg,media/stable_numbers/number_crops/loop_0000083k.jpg,2020-09-13 03:16:44.389714,media/stable_numbers/og_screenshots/loop_0000083.jpg,"(229, 30)",,,,,,
,19.0,10.0,,media/stable_numbers/number_crops/loop_0000084pr.jpg,media/stable_numbers/number_crops/loop_0000084k.jpg,2020-09-13 03:16:44.567877,media/stable_numbers/og_screenshots/loop_0000084.jpg,"(229, 30)",,,,,,
,19.0,10.0,,media/stable_numbers/number_crops/loop_0000085pr.jpg,media/stable_numbers/number_crops/loop_0000085k.jpg,2020-09-13 03:16:44.746054,media/stable_numbers/og_screenshots/loop_0000085.jpg,"(229, 30)",,,,,,
,19.0,10.0,,media/stable_numbers/number_crops/loop_0000086pr.jpg,media/stable_numbers/number_crops/loop_0000086k.jpg,2020-09-13 03:16:44.895208,media/stable_numbers/og_screenshots/loop_0000086.jpg,"(229, 30)",,,,,,
,19.0,10.0,,media/stable_numbers/number_crops/loop_0000087pr.jpg,media/stable_numbers/number_crops/loop_0000087k.jpg,2020-09-13 03:16:45.111614,media/stable_numbers/og_screenshots/loop_0000087.jpg,"(229, 30)",,,,,,
,19.0,10.0,,media/stable_numbers/number_crops/loop_0000088pr.jpg,media/stable_numbers/number_crops/loop_0000088k.jpg,2020-09-13 03:16:45.267121,media/stable_numbers/og_screenshots/loop_0000088.jpg,"(229, 30)",,,,,,
,18.0,10.0,,media/stable_numbers/number_crops/loop_0000089pr.jpg,media/stable_numbers/number_crops/loop_0000089k.jpg,2020-09-13 03:16:45.422147,media/stable_numbers/og_screenshots/loop_0000089.jpg,"(229, 30)",,,,,,
,18.0,10.0,,media/stable_numbers/number_crops/loop_0000090pr.jpg,media/stable_numbers/number_crops/loop_0000090k.jpg,2020-09-13 03:16:45.602694,media/stable_numbers/og_screenshots/loop_0000090.jpg,"(229, 30)",,,,,,
,18.0,10.0,,media/stable_numbers/number_crops/loop_0000091pr.jpg,media/stable_numbers/number_crops/loop_0000091k.jpg,2020-09-13 03:16:45.766469,media/stable_numbers/og_screenshots/loop_0000091.jpg,"(229, 30)",,,,,,
,18.0,10.0,,media/stable_numbers/number_crops/loop_0000092pr.jpg,media/stable_numbers/number_crops/loop_0000092k.jpg,2020-09-13 03:16:45.921364,media/stable_numbers/og_screenshots/loop_0000092.jpg,"(229, 30)",,,,,,
,18.0,10.0,,media/stable_numbers/number_crops/loop_0000093pr.jpg,media/stable_numbers/number_crops/loop_0000093k.jpg,2020-09-13 03:16:46.070557,media/stable_numbers/og_screenshots/loop_0000093.jpg,"(229, 30)",,,,,,
,18.0,10.0,,media/stable_numbers/number_crops/loop_0000094pr.jpg,media/stable_numbers/number_crops/loop_0000094k.jpg,2020-09-13 03:16:46.231168,media/stable_numbers/og_screenshots/loop_0000094.jpg,"(229, 30)",,,,,,
,18.0,10.0,,media/stable_numbers/number_crops/loop_0000095pr.jpg,media/stable_numbers/number_crops/loop_0000095k.jpg,2020-09-13 03:16:46.389627,media/stable_numbers/og_screenshots/loop_0000095.jpg,"(229, 30)",,,,,,
,18.0,i10,,media/stable_numbers/number_crops/loop_0000096pr.jpg,media/stable_numbers/number_crops/loop_0000096k.jpg,2020-09-13 03:16:46.550315,media/stable_numbers/og_screenshots/loop_0000096.jpg,"(229, 30)",,,,,,
,18.0,10.0,,media/stable_numbers/number_crops/loop_0000097pr.jpg,media/stable_numbers/number_crops/loop_0000097k.jpg,2020-09-13 03:16:46.704211,media/stable_numbers/og_screenshots/loop_0000097.jpg,"(229, 30)",,,,,,
,18.0,10.0,,media/stable_numbers/number_crops/loop_0000098pr.jpg,media/stable_numbers/number_crops/loop_0000098k.jpg,2020-09-13 03:16:46.888113,media/stable_numbers/og_screenshots/loop_0000098.jpg,"(229, 30)",,,,,,
,n,n,,media/stable_numbers/number_crops/loop_0000099pr.jpg,media/stable_numbers/number_crops/loop_0000099k.jpg,2020-09-13 03:16:47.092816,media/stable_numbers/og_screenshots/loop_0000099.jpg,"(229, 30)",,,,,,
,42.0,6.0,,media/stable_numbers/number_crops/loop_0000099pr.jpg,media/stable_numbers/number_crops/loop_0000099k.jpg,2020-09-13 03:58:04.040288,media/stable_numbers/og_screenshots/loop_0000099.jpg,"(235, 26)",,,,,,
,140.0,1.0,,media/stable_numbers/number_crops/loop_0000099pr.jpg,media/stable_numbers/number_crops/loop_0000099k.jpg,2020-09-13 04:14:04.701539,media/stable_numbers/og_screenshots/loop_0000099.jpg,"(233, 21)",,,,,,
,140.0,1.0,,media/stable_numbers/number_crops/loop_0000100pr.jpg,media/stable_numbers/number_crops/loop_0000100k.jpg,2020-09-13 04:14:04.918617,media/stable_numbers/og_screenshots/loop_0000100.jpg,"(233, 21)",,,,,,
,139.0,1.0,,media/stable_numbers/number_crops/loop_0000101pr.jpg,media/stable_numbers/number_crops/loop_0000101k.jpg,2020-09-13 04:14:05.204852,media/stable_numbers/og_screenshots/loop_0000101.jpg,"(233, 21)",,,,,,
,139.0,1.0,,media/stable_numbers/number_crops/loop_0000102pr.jpg,media/stable_numbers/number_crops/loop_0000102k.jpg,2020-09-13 04:14:05.460731,media/stable_numbers/og_screenshots/loop_0000102.jpg,"(233, 21)",,,,,,
,139.0,1.0,,media/stable_numbers/number_crops/loop_0000103pr.jpg,media/stable_numbers/number_crops/loop_0000103k.jpg,2020-09-13 04:14:05.725032,media/stable_numbers/og_screenshots/loop_0000103.jpg,"(233, 21)",,,,,,
,139.0,1.0,,media/stable_numbers/number_crops/loop_0000104pr.jpg,media/stable_numbers/number_crops/loop_0000104k.jpg,2020-09-13 04:14:05.988078,media/stable_numbers/og_screenshots/loop_0000104.jpg,"(233, 21)",,,,,,
,139.0,1.0,,media/stable_numbers/number_crops/loop_0000105pr.jpg,media/stable_numbers/number_crops/loop_0000105k.jpg,2020-09-13 04:14:06.260366,media/stable_numbers/og_screenshots/loop_0000105.jpg,"(233, 21)",,,,,,
,139.0,1.0,,media/stable_numbers/number_crops/loop_0000106pr.jpg,media/stable_numbers/number_crops/loop_0000106k.jpg,2020-09-13 04:14:06.505874,media/stable_numbers/og_screenshots/loop_0000106.jpg,"(233, 21)",,,,,,
,139.0,1.0,,media/stable_numbers/number_crops/loop_0000107pr.jpg,media/stable_numbers/number_crops/loop_0000107k.jpg,2020-09-13 04:14:06.742728,media/stable_numbers/og_screenshots/loop_0000107.jpg,"(233, 21)",,,,,,
,139.0,1.0,,media/stable_numbers/number_crops/loop_0000108pr.jpg,media/stable_numbers/number_crops/loop_0000108k.jpg,2020-09-13 04:14:07.017993,media/stable_numbers/og_screenshots/loop_0000108.jpg,"(233, 21)",,,,,,
,139.0,1.0,,media/stable_numbers/number_crops/loop_0000109pr.jpg,media/stable_numbers/number_crops/loop_0000109k.jpg,2020-09-13 04:14:07.283448,media/stable_numbers/og_screenshots/loop_0000109.jpg,"(233, 21)",,,,,,
,139.0,1.0,,media/stable_numbers/number_crops/loop_0000110pr.jpg,media/stable_numbers/number_crops/loop_0000110k.jpg,2020-09-13 04:14:07.540926,media/stable_numbers/og_screenshots/loop_0000110.jpg,"(233, 21)",,,,,,
,139.0,1.0,,media/stable_numbers/number_crops/loop_0000111pr.jpg,media/stable_numbers/number_crops/loop_0000111k.jpg,2020-09-13 04:14:07.808209,media/stable_numbers/og_screenshots/loop_0000111.jpg,"(233, 21)",,,,,,
,139.0,1.0,,media/stable_numbers/number_crops/loop_0000112pr.jpg,media/stable_numbers/number_crops/loop_0000112k.jpg,2020-09-13 04:14:08.105701,media/stable_numbers/og_screenshots/loop_0000112.jpg,"(233, 21)",,,,,,
